"","CARREIRA","CARGO","occupation_native","occupation_english"
"1265","SUPERVISOR DE PROGRAMAS E PROJETOS","SUPERVISOR DE PROGRAMAS E PROJETOS","supervisor de programas e projetos","program and project supervisor"
"1266","GERENTE OPERACIONAL DO CENTRO CULT. E DE","GERENTE OPERACIONAL DO CENTRO CULT. E DE","gerente operacional do centro cult. e de","operational manager of cult center. and from"
"1267","GERENTE COMERCIAL DO CENTRO CULTURAL E D","GERENTE COMERCIAL DO CENTRO CULTURAL E D","gerente comercial do centro cultural e d","commercial manager of the cultural center and d"
"1268","GERENTE DE POLOS E DISTRITOS","GERENTE DE POLOS E DISTRITOS","gerente de polos e distritos","polos and district manager"
"1269","GERENTE DE MARKETING","GERENTE DE MARKETING","gerente de marketing","marketing manager"
"1270","GERENTE DE RECURSOS ENERGETICOS","GERENTE DE RECURSOS ENERGETICOS","gerente de recursos energeticos","energy resource manager"
"1271","ASSESSOR TECNICO DE PLANEJAMENTO","ASSESSOR TECNICO DE PLANEJAMENTO","assessor tecnico de planejamento","technical planning advisor"
"1272","GERENTE DE RECURSOS MINERAIS","GERENTE DE RECURSOS MINERAIS","gerente de recursos minerais","mineral resource manager"
"1273","GERENTE DE LABORATORIO","GERENTE DE LABORATORIO","gerente de laboratorio","laboratory manager"
"1274","ASSESSOR AMBIENTAL DE LICENCIAMENTO","ASSESSOR AMBIENTAL DE LICENCIAMENTO","assessor ambiental de licenciamento","licensing environmental advisor"
"1275","GERENTE DE EDUCACAO AMBIENTAL","GERENTE DE EDUCACAO AMBIENTAL","gerente de educacao ambiental","environmental education manager"
"1276","ASSESSOR AMBIENTAL DE BIODIVERSIDADE E F","ASSESSOR AMBIENTAL DE BIODIVERSIDADE E F","assessor ambiental de biodiversidade e f","environmental advisor to biodiversity and f"
"1277","ASSESSOR AMBIENTAL DE FISCALIZACAO","ASSESSOR AMBIENTAL DE FISCALIZACAO","assessor ambiental de fiscalizacao","environmental supervisory advisor"
"1278","ASSESSOR AMBIENTAL DE EDUCACAO","ASSESSOR AMBIENTAL DE EDUCACAO","assessor ambiental de educacao","education environmental advisor"
"1279","ASSESSOR AMBIENTAL DE AQUICULTURA","ASSESSOR AMBIENTAL DE AQUICULTURA","assessor ambiental de aquicultura","aquaculture environmental advisor"
"1280","GERENTE DE DESENVOLVIMENTO CIENTIFICO E","GERENTE DE DESENVOLVIMENTO CIENTIFICO E","gerente de desenvolvimento cientifico e","scientific development manager and"
"1281","ASSESSOR TECNICO DE DESENVOLVIMENTO CIEN","ASSESSOR TECNICO DE DESENVOLVIMENTO CIEN","assessor tecnico de desenvolvimento cien","cien development technical advisor"
"1282","GERENTE DE EXECUCAO E MONIT. DE POL. PAR","GERENTE DE EXECUCAO E MONIT. DE POL. PAR","gerente de execucao e monit. de pol. par","execution and monit manager. of in. pair"
"1283","GERENTE DE AQUICULTURA","GERENTE DE AQUICULTURA","gerente de aquicultura","aquaculture manager"
"1284","AGENTE DE SINE BENEDITO BENTES","AGENTE DE SINE BENEDITO BENTES","agente de sine benedito bentes","sine benedito bentes agent"
"1285","AGENTE ESPECIAL DE SINE DO TRABALHADOR A","AGENTE ESPECIAL DE SINE DO TRABALHADOR A","agente especial de sine do trabalhador a","special agent of sine do worker to"
"1286","ASSESSOR TECNICO DE UNIDADES DE APOIO AS","ASSESSOR TECNICO DE UNIDADES DE APOIO AS","assessor tecnico de unidades de apoio as","technical advisor of support units"
"1287","ASSESSOR ESPECIAL DO FUNESP","ASSESSOR ESPECIAL DO FUNESP","assessor especial do funesp","special advisor to funesp"
"1288","ASSESSOR TECNICO DE AUDITORIA E CONTROLE","ASSESSOR TECNICO DE AUDITORIA E CONTROLE","assessor tecnico de auditoria e controle","technical audit and control advisor"
"1289","ASSESSOR ESPECIAL DE GESTAO DE SEGURANCA","ASSESSOR ESPECIAL DE GESTAO DE SEGURANCA","assessor especial de gestao de seguranca","special security management advisor"
"1290","SUPERINT. DE CIENCIA, TECNOLOGIA E INOVA","SUPERINT. DE CIENCIA, TECNOLOGIA E INOVA","superint. de ciencia, tecnologia e inova","superint. of science, technology and innova"
"1291","SUPERINT. DE VIGILANCIA EM SAUDE","SUPERINT. DE VIGILANCIA EM SAUDE","superint. de vigilancia em saude","superint. healthy vigilance"
"1292","ASSESSOR TECNICO DE ATENDIMENTO DO INTER","ASSESSOR TECNICO DE ATENDIMENTO DO INTER","assessor tecnico de atendimento do inter","inter technical advisor at inter"
"1293","SUPERINT. DE REGULACAO E AUDITORIA","SUPERINT. DE REGULACAO E AUDITORIA","superint. de regulacao e auditoria","superint. regular and audit"
"1294","ASSESSOR TECNICO DE MONIT. DE PROJETOS","ASSESSOR TECNICO DE MONIT. DE PROJETOS","assessor tecnico de monit. de projetos","monit technical advisor. projects"
"1295","GERENTE DE VIGILANCIA SANITARIA","GERENTE DE VIGILANCIA SANITARIA","gerente de vigilancia sanitaria","sanitary vigilance manager"
"1296","ASSESSOR TECNICO DE SISTEMA DE INFORMACA","ASSESSOR TECNICO DE SISTEMA DE INFORMACA","assessor tecnico de sistema de informaca","technical information system advisor"
"1297","ASSESSOR TECNICO DE ECONOMIA SOLIDARIA","ASSESSOR TECNICO DE ECONOMIA SOLIDARIA","assessor tecnico de economia solidaria","solidaria economy technical advisor"
"1298","SUPERVISOR DE CUIDADOS A PESSOAS COM DEF","SUPERVISOR DE CUIDADOS A PESSOAS COM DEF","supervisor de cuidados a pessoas com def","care supervisor for people with def"
"1299","ASSESSOR TECNICO DE ACOES DE SAUDE","ASSESSOR TECNICO DE ACOES DE SAUDE","assessor tecnico de acoes de saude","health advisor"
"1300","SUPERVISOR DE PROCEDIMENTOS LICITATORIOS","SUPERVISOR DE PROCEDIMENTOS LICITATORIOS","supervisor de procedimentos licitatorios","bidding procedures supervisor"
"1301","AGENTE DE SINE CENTRO","AGENTE DE SINE CENTRO","agente de sine centro","sine center agent"
"1302","ASSESSOR TECNICO DE DESENVOLVIMENTO TECN","ASSESSOR TECNICO DE DESENVOLVIMENTO TECN","assessor tecnico de desenvolvimento tecn","tecn development technical advisor"
"1303","ASSESSOR ESPECIAL DE SEGURANCA PUBLICA","ASSESSOR ESPECIAL DE SEGURANCA PUBLICA","assessor especial de seguranca publica","public security special advisor"
"1304","GERENTE DE AMBIENTE DE INOVACAO","GERENTE DE AMBIENTE DE INOVACAO","gerente de ambiente de inovacao","innovation environment manager"
"1305","ASSESSOR TECNICO DE DESENVOLVIMENTO DE S","ASSESSOR TECNICO DE DESENVOLVIMENTO DE S","assessor tecnico de desenvolvimento de s","s technical development advisor"
"1306","AGENTE ESPECIAL DE SINE DE ATENDIMENTO A","AGENTE ESPECIAL DE SINE DE ATENDIMENTO A","agente especial de sine de atendimento a","special agent of sine of service to"
"1307","GERENTE DE SISTEMA DE INFORMACAO","GERENTE DE SISTEMA DE INFORMACAO","gerente de sistema de informacao","information system manager"
"1308","ASSESSOR TECNICO DE DISQUE DENUNCIA","ASSESSOR TECNICO DE DISQUE DENUNCIA","assessor tecnico de disque denuncia","dial technical advisor denounces"
"1309","ASSESSOR TEC. NUCLEO DE ACOMP. DE RES. P","ASSESSOR TEC. NUCLEO DE ACOMP. DE RES. P","assessor tec. nucleo de acomp. de res. p","tec. acomp nucleus. of res. p"
"1310","ASSESSOR TECNICO DE ATIVIDADES FISICA E","ASSESSOR TECNICO DE ATIVIDADES FISICA E","assessor tecnico de atividades fisica e","technical advisor for physical activities and"
"1311","ASSESSOR DO GAB. DO DELEGADO GERAL ADJUN","ASSESSOR DO GAB. DO DELEGADO GERAL ADJUN","assessor do gab. do delegado geral adjun","gab advisor. of the delegate general adjun"
"1312","AGENTE DE SINE CORURIPE","AGENTE DE SINE CORURIPE","agente de sine coruripe","sine coruripe agent"
"1313","ASSESSOR DO GABINETE DO DELEGADO GERAL D","ASSESSOR DO GABINETE DO DELEGADO GERAL D","assessor do gabinete do delegado geral d","advisor to the general delegate office d"
"1314","ASSESSOR TECNICO DE MONIT.","ASSESSOR TECNICO DE MONIT.","assessor tecnico de monit.","monit technical advisor."
"1315","ASSESSOR TECNICO DE SEGURANCA DA INFORMA","ASSESSOR TECNICO DE SEGURANCA DA INFORMA","assessor tecnico de seguranca da informa","technical advisor of safety of inform"
"1316","AGENTE DE SINE UNIAO DOS PALMARES","AGENTE DE SINE UNIAO DOS PALMARES","agente de sine uniao dos palmares","sine union agent of palmares"
"1317","ASSESSOR TECNICO DE MANUTENCAO DE ARMAS","ASSESSOR TECNICO DE MANUTENCAO DE ARMAS","assessor tecnico de manutencao de armas","weapon maintenance technical advisor"
"1318","ASSESSOR TECNICO DE MANDADO DE PRISAO","ASSESSOR TECNICO DE MANDADO DE PRISAO","assessor tecnico de mandado de prisao","prison mandate technical advisor"
"1319","ASSESSOR TECNICO DE ATENDIMENTO DA CAPIT","ASSESSOR TECNICO DE ATENDIMENTO DA CAPIT","assessor tecnico de atendimento da capit","capit's technical service advisor"
"1320","GERENTE DE VIGILANCIA E CONTROLE DE DOEN","GERENTE DE VIGILANCIA E CONTROLE DE DOEN","gerente de vigilancia e controle de doen","dury watch and control manager"
"1321","SUPERVISOR ADMINISTRATIVO E FINANCEIRO","SUPERVISOR ADMINISTRATIVO E FINANCEIRO","supervisor administrativo e financeiro","administrative and financial supervisor"
"1322","GERENTE DO FUNDO ESTADUAL DE SAUDE","GERENTE DO FUNDO ESTADUAL DE SAUDE","gerente do fundo estadual de saude","state health fund manager"
"1323","ASSESSOR TECNICO DE VETORES, ZOONOSES E","ASSESSOR TECNICO DE VETORES, ZOONOSES E","assessor tecnico de vetores, zoonoses e","technical advisor of vectors, zoonoses and"
"1324","ASSESSOR TECNICO DE ATENCAO A SAUDE","ASSESSOR TECNICO DE ATENCAO A SAUDE","assessor tecnico de atencao a saude","technical advisor to health"
"1325","ASSESSOR TECNICO DE INSPECAO DE SERVICOS","ASSESSOR TECNICO DE INSPECAO DE SERVICOS","assessor tecnico de inspecao de servicos","service inspection technical advisor"
"1326","ASSESSOR TECNICO ESPECIAL DE INTERACAO S","ASSESSOR TECNICO ESPECIAL DE INTERACAO S","assessor tecnico especial de interacao s","special technical advisor of interaction s"
"1327","GERENTE DE PLANEJAMENTO, MONIT. E AVALIA","GERENTE DE PLANEJAMENTO, MONIT. E AVALIA","gerente de planejamento, monit. e avalia","planning manager, monit. and evaluates"
"1328","ASSESSOR TECNICO DE CONTROLE DE MEDICAME","ASSESSOR TECNICO DE CONTROLE DE MEDICAME","assessor tecnico de controle de medicame","medical control technician advisor"
"1329","ASSESSOR TECNICO DE CONTRATOS","ASSESSOR TECNICO DE CONTRATOS","assessor tecnico de contratos","contract technical advisor"
"1330","ASSESSOR TECNICO DE INFORMACOES GERENCIA","ASSESSOR TECNICO DE INFORMACOES GERENCIA","assessor tecnico de informacoes gerencia","technical information advisor manage"
"1331","GERENTE DE INFORMACAO E ANALISE DA SITUA","GERENTE DE INFORMACAO E ANALISE DA SITUA","gerente de informacao e analise da situa","information and analysis manager of sete"
"1332","ASSESSOR TECNICO DE VIGILANCIA DE QUALID","ASSESSOR TECNICO DE VIGILANCIA DE QUALID","assessor tecnico de vigilancia de qualid","qualid vigilance technical advisor"
"1333","GERENTE DE VIGILANCIA EM SAUDE AMBIENTAL","GERENTE DE VIGILANCIA EM SAUDE AMBIENTAL","gerente de vigilancia em saude ambiental","vigilance manager in environmental health"
"1334","GERENTE DE ASSISTENCIA HOSPITALAR","GERENTE DE ASSISTENCIA HOSPITALAR","gerente de assistencia hospitalar","hospital assistance manager"
"1335","SUPERINT. DE PLANEJAMENTO, GESTAO E PART","SUPERINT. DE PLANEJAMENTO, GESTAO E PART","superint. de planejamento, gestao e part","superint. planning, management and part"
"1336","ASSESSOR TECNICO DE VIGILANCIA DE CAUSAS","ASSESSOR TECNICO DE VIGILANCIA DE CAUSAS","assessor tecnico de vigilancia de causas","causes vigilance technical advisor"
"1337","ASSESSOR TECNICO DE EVENTOS FUNCIONAIS","ASSESSOR TECNICO DE EVENTOS FUNCIONAIS","assessor tecnico de eventos funcionais","technical advisor of functional events"
"1338","SUPERVISOR DE ANALISE FINANCEIRA","SUPERVISOR DE ANALISE FINANCEIRA","supervisor de analise financeira","financial analysis supervisor"
"1339","SUPERVISOR DE PROCESSOS E GESTAO DA INFO","SUPERVISOR DE PROCESSOS E GESTAO DA INFO","supervisor de processos e gestao da info","process supervisor and info management"
"1340","SUPERVISOR DE ESTUDOS E PROJECOES","SUPERVISOR DE ESTUDOS E PROJECOES","supervisor de estudos e projecoes","supervisor of study and projects"
"1341","SUPERVISOR DE DADOS E ANALISE GEOGRAFICA","SUPERVISOR DE DADOS E ANALISE GEOGRAFICA","supervisor de dados e analise geografica","data supervisor and geographic analysis"
"1342","SUPERINT. DE ARTICULACAO POLITICA E SOCI","SUPERINT. DE ARTICULACAO POLITICA E SOCI","superint. de articulacao politica e soci","superint. political articulation and soci"
"1343","GERENTE DE CONTRATOS, CONVENIOS E PARCER","GERENTE DE CONTRATOS, CONVENIOS E PARCER","gerente de contratos, convenios e parcer","contract, conveniences and parcer manager"
"1344","SUPERVISOR DE PREVENCAO","SUPERVISOR DE PREVENCAO","supervisor de prevencao","prevention supervisor"
"1345","SUPERVISOR DE MANUTENCAO PREDIAL","SUPERVISOR DE MANUTENCAO PREDIAL","supervisor de manutencao predial","building maintenance supervisor"
"1346","TECNICO DE CONTAS","TECNICO DE CONTAS","tecnico de contas","account technique"
"1347","TECNICO SUPERIOR EM ASSUNTOS DE SAUDE","TECNICO SUPERIOR EM ASSUNTOS DE SAUDE","tecnico superior em assuntos de saude","higher technical in health affairs"
"1348","ADVOGADO DE FUND 4 CLASSE","ADVOGADO DE FUND 4 CLASSE","advogado de fund 4 classe","fund lawyer 4 class"
"1349","ASSSESSOR JURIDICO I","ASSSESSOR JURIDICO I","asssessor juridico i","juridical assessor i"
"1350","GESTOR EM PLANEJAMENTO DE EDUCACAO","GESTOR EM PLANEJAMENTO DE EDUCACAO","gestor em planejamento de educacao","manager in education planning"
"1351","ASSESSOR DE PERICIA CONTABIL JUDICIAL I","ASSESSOR DE PERICIA CONTABIL JUDICIAL I","assessor de pericia contabil judicial i","expert of expertise judicial"
"1352","ASSESSOR TECNICO DA PRESIDENCIA","ASSESSOR TECNICO DA PRESIDENCIA","assessor tecnico da presidencia","presidential technical advisor"
"1353","ASSESSOR TECNICO 6","ASSESSOR TECNICO 6","assessor tecnico 6","technical advisor 6"
"1354","PERICIA CONTABIL JUDICIAL II","PERICIA CONTABIL JUDICIAL II","pericia contabil judicial ii","experience accounting judicial ii"
"1355","ASSESSOR TECNICO DE SIST E SUP DE INFORM","ASSESSOR TECNICO DE SIST E SUP DE INFORM","assessor tecnico de sist e sup de inform","sist and sup technical advisor"
"1356","ASSSESSOR JURIDICO III","ASSSESSOR JURIDICO III","asssessor juridico iii","juridical assessor iii"
"1357","GERENTE DE PLANEJAMENTO E POLITICAS PUBL","GERENTE DE PLANEJAMENTO E POLITICAS PUBL","gerente de planejamento e politicas publ","planning and policies manager publ"
"1358","ASSESSOR JURIDICO II","ASSESSOR JURIDICO II","assessor juridico ii","juridical advisor ii"
"1359","ASSESSOR EXECUTIVO DE GESAO DE PESSOAS","ASSESSOR EXECUTIVO DE GESAO DE PESSOAS","assessor executivo de gesao de pessoas","executive personnel executive advisor"
"1360","ASSESSOR ESPECIAL III","ASSESSOR ESPECIAL III","assessor especial iii","special advisor iii"
"1361","ASSESSOR TECNICO II","ASSESSOR TECNICO II","assessor tecnico ii","technical advisor ii"
"1362","ASSESSOR DE CONTROLE DE FREQUENCIA","ASSESSOR DE CONTROLE DE FREQUENCIA","assessor de controle de frequencia","frequency control advisor"
"1363","ASSESSOR TECNICO III","ASSESSOR TECNICO III","assessor tecnico iii","technical advisor iii"
"1364","ASSESSOR TECNICO DE CONTROLE DE PORTARIA","ASSESSOR TECNICO DE CONTROLE DE PORTARIA","assessor tecnico de controle de portaria","ordinance control technician advisor"
"1365","ASSESSOR TECNICO FINANCEIRO","ASSESSOR TECNICO FINANCEIRO","assessor tecnico financeiro","financial technical advisor"
"1366","ASSESSOR TECNICO I","ASSESSOR TECNICO I","assessor tecnico i","technical advisor i"
"1367","SUPERVISOR DE EXECUCAO DE PROJETOS ESPEC","SUPERVISOR DE EXECUCAO DE PROJETOS ESPEC","supervisor de execucao de projetos espec","execution execution supervisor"
"1368","ASSESSOR TECNICO DE PRO-REITORIA","ASSESSOR TECNICO DE PRO-REITORIA","assessor tecnico de pro-reitoria","technical advisor of pro-rectory"
"1369","SUPERVISOR DE AUDITORIA E CONTROLE","SUPERVISOR DE AUDITORIA E CONTROLE","supervisor de auditoria e controle","audit and control supervisor"
"1370","SUPERVISOR DE EXECUCAO ORCAMENTARIA DA A","SUPERVISOR DE EXECUCAO ORCAMENTARIA DA A","supervisor de execucao orcamentaria da a","execution supervisor orcamentary"
"1371","ASSESSOR TECNICO PARA O FUNDO ESTADUAL D","ASSESSOR TECNICO PARA O FUNDO ESTADUAL D","assessor tecnico para o fundo estadual d","technical advisor to the state fund d"
"1372","ASSESSOR TECNICO INTERMEDIARIO","ASSESSOR TECNICO INTERMEDIARIO","assessor tecnico intermediario","intermediate technician advisor"
"1373","DIRETOR ADMINISTRATIVO E DE GESTAO DE PE","DIRETOR ADMINISTRATIVO E DE GESTAO DE PE","diretor administrativo e de gestao de pe","administrative and managing director of pe"
"1374","SUPERVISOR DA GRANDE MATA ALAGOANA","SUPERVISOR DA GRANDE MATA ALAGOANA","supervisor da grande mata alagoana","supervisor of the great mata alagoana"
"1375","ASSESSOR ESPECIAL DE INFRAESTRUTURA URBA","ASSESSOR ESPECIAL DE INFRAESTRUTURA URBA","assessor especial de infraestrutura urba","special advisor on urban infrastructure"
"1376","SUPERVISOR DE GESTAO SOCIAL","SUPERVISOR DE GESTAO SOCIAL","supervisor de gestao social","social management supervisor"
"1377","SUPERVISOR DE DESENV. SOCIOFAMILIAR E EC","SUPERVISOR DE DESENV. SOCIOFAMILIAR E EC","supervisor de desenv. sociofamiliar e ec","supervisor of deserv. socioophamile and ec"
"1378","SUPERINT. DE MEDIDAS SOCIOEDUCATIVAS","SUPERINT. DE MEDIDAS SOCIOEDUCATIVAS","superint. de medidas socioeducativas","superint. of socio -educational measures"
"1379","GERENTE DE PROGR. DE PREV. E REINSERCAO","GERENTE DE PROGR. DE PREV. E REINSERCAO","gerente de progr. de prev. e reinsercao","progr manager. of pred. and reintegration"
"1380","GERENTE DE ASSISTENCIA SOCIOEDUCATIVA","GERENTE DE ASSISTENCIA SOCIOEDUCATIVA","gerente de assistencia socioeducativa","socio -educational assistance manager"
"1381","GERENTE DA REDE DE SERVICOS DE ACOLHIMEN","GERENTE DA REDE DE SERVICOS DE ACOLHIMEN","gerente da rede de servicos de acolhimen","welcomer service network manager"
"1382","SECRETARIO EXECUTIVO DE POLITICAS AGROPE","SECRETARIO EXECUTIVO DE POLITICAS AGROPE","secretario executivo de politicas agrope","executive secretary of agrope policy"
"1383","GERENTE DE PROGRAMAS DE ACESSO A JUSTICA","GERENTE DE PROGRAMAS DE ACESSO A JUSTICA","gerente de programas de acesso a justica","justica access program manager"
"1384","ASSESSOR TECNICO DE TRATAMENTO FORA DE D","ASSESSOR TECNICO DE TRATAMENTO FORA DE D","assessor tecnico de tratamento fora de d","treatment advisor out of d"
"1385","ASSESSOR TECNICO DE PROGRAMACAO E PACTUA","ASSESSOR TECNICO DE PROGRAMACAO E PACTUA","assessor tecnico de programacao e pactua","programming technical advisor"
"1386","ASSESSOR TECNICO DE COMPRAS EMERGENCIAIS","ASSESSOR TECNICO DE COMPRAS EMERGENCIAIS","assessor tecnico de compras emergenciais","emergency purchasing technical advisor"
"1387","GERENTE DE CONTROLE E AVALIACAO","GERENTE DE CONTROLE E AVALIACAO","gerente de controle e avaliacao","control and evaluation manager"
"1388","ASSESSOR TECNICO DE BIOLOGIA MEDICA","ASSESSOR TECNICO DE BIOLOGIA MEDICA","assessor tecnico de biologia medica","medical biology technical advisor"
"1389","ASSESSOR TECNICO DE UNIDADES AVANCADAS","ASSESSOR TECNICO DE UNIDADES AVANCADAS","assessor tecnico de unidades avancadas","technical advisor of advanced units"
"1390","ASSESSOR TECNICO DE VIGILANCIA E OUTROS","ASSESSOR TECNICO DE VIGILANCIA E OUTROS","assessor tecnico de vigilancia e outros","technical advisor of vigilance and others"
"1391","GERENTE DE ATENCAO PRIMARIA","GERENTE DE ATENCAO PRIMARIA","gerente de atencao primaria","primary attention manager"
"1392","ASSESSOR TECNICO DE ATAS DE REGISTRO DE","ASSESSOR TECNICO DE ATAS DE REGISTRO DE","assessor tecnico de atas de registro de","technical advisor of minutes registration"
"1393","ASSESSOR TEC. DE VIG. DE TABAGISMO, ALCO","ASSESSOR TEC. DE VIG. DE TABAGISMO, ALCO","assessor tec. de vig. de tabagismo, alco","tec. vig. smoking, alcock"
"1394","SUPERVISOR DO HEMOCENTRO DE ARAPIRACA","SUPERVISOR DO HEMOCENTRO DE ARAPIRACA","supervisor do hemocentro de arapiraca","arapiraca hemocentro supervisor"
"1395","ASSESSOR TECNICO DE PATRIMONIO IMOBILIAR","ASSESSOR TECNICO DE PATRIMONIO IMOBILIAR","assessor tecnico de patrimonio imobiliar","immobiliar heritage technical advisor"
"1396","ASSESSOR TEC. DE SERVICOS DE LIMPEZA, SE","ASSESSOR TEC. DE SERVICOS DE LIMPEZA, SE","assessor tec. de servicos de limpeza, se","tec. cleaning services, if"
"1397","GERENTE DE REGULARIZACAO DA MORADIA","GERENTE DE REGULARIZACAO DA MORADIA","gerente de regularizacao da moradia","housing regularization manager"
"1398","ASSESSOR TECNICO ADMINISTRATIVO E FINANC","ASSESSOR TECNICO ADMINISTRATIVO E FINANC","assessor tecnico administrativo e financ","administrative technical advisor and finan"
"1399","ASSESSOR TECNICO DO AGRESTE I","ASSESSOR TECNICO DO AGRESTE I","assessor tecnico do agreste i","agreste's technical advisor i"
"1400","SUPERVISOR DE ACOMPAN. E AVALIACAO DA AT","SUPERVISOR DE ACOMPAN. E AVALIACAO DA AT","supervisor de acompan. e avaliacao da at","accompanying supervisor. and assessment of at"
"1401","AGENTE DE SINE RIO LARGO","AGENTE DE SINE RIO LARGO","agente de sine rio largo","sine rio largo agent"
"1402","ASSESSOR TECNICO DO ALTO SERTAO","ASSESSOR TECNICO DO ALTO SERTAO","assessor tecnico do alto sertao","high sertao technical advisor"
"1403","ASSESSOR TECNICO DO MEDIO SERTAO","ASSESSOR TECNICO DO MEDIO SERTAO","assessor tecnico do medio sertao","technical advisor to the sertao medio"
"1404","ASSESSOR TECNICO DE AUDITORIA DE GESTAO","ASSESSOR TECNICO DE AUDITORIA DE GESTAO","assessor tecnico de auditoria de gestao","management audit technical advisor"
"1405","ASSESSOR TECNICO DE ANALISE CONTABIL","ASSESSOR TECNICO DE ANALISE CONTABIL","assessor tecnico de analise contabil","accounting analysis technical advisor"
"1406","GERENTE DE CADEIAS PRODUTIVAS E ARRANJOS","GERENTE DE CADEIAS PRODUTIVAS E ARRANJOS","gerente de cadeias produtivas e arranjos","productive chain manager and arrangements"
"1407","SUPERVISOR DE SAUDE DO CENTRO PSIQUIATRI","SUPERVISOR DE SAUDE DO CENTRO PSIQUIATRI","supervisor de saude do centro psiquiatri","health supervisor at centro psychiatri"
"1408","SUPERVISOR DO ALTO SERTAO","SUPERVISOR DO ALTO SERTAO","supervisor do alto sertao","high sertao supervisor"
"1409","ASSESSOR CIENTIFICO DE PESQUISAS E TECNO","ASSESSOR CIENTIFICO DE PESQUISAS E TECNO","assessor cientifico de pesquisas e tecno","scientific research advisor and technology"
"1410","GERENTE DE POLITICA AGROPECUARIA","GERENTE DE POLITICA AGROPECUARIA","gerente de politica agropecuaria","agricultural policy manager"
"1411","GERENTE EXECUTIVO DE PLANEJAMENTO E ORCA","GERENTE EXECUTIVO DE PLANEJAMENTO E ORCA","gerente executivo de planejamento e orca","executive manager of planning and orca"
"1412","ASSESSOR TECNICO DE AUDITORIA ASSISTENCI","ASSESSOR TECNICO DE AUDITORIA ASSISTENCI","assessor tecnico de auditoria assistenci","audit technical advisor assistance"
"1413","ASSESSOR TECNICO DE PLANEJAMENTO, ORC.,","ASSESSOR TECNICO DE PLANEJAMENTO, ORC.,","assessor tecnico de planejamento, orc.,","planning technical advisor, orc.,"
"1414","ASSESSOR TEC. DE PROM. DA INCLUSAO SOCIA","ASSESSOR TEC. DE PROM. DA INCLUSAO SOCIA","assessor tec. de prom. da inclusao socia","tec. from prom. of the social inclusion"
"1415","COORDENADOR GERAL DA GOVERNANCA CORPORAT","COORDENADOR GERAL DA GOVERNANCA CORPORAT","coordenador geral da governanca corporat","general coordinator of governanca corporat"
"1416","SUPERVISOR DE ATIVIDADE TECNICA","SUPERVISOR DE ATIVIDADE TECNICA","supervisor de atividade tecnica","technical activity supervisor"
"1417","ASSESSOR TEC. DE PLANEJAMENTO, ORCAMENTO","ASSESSOR TEC. DE PLANEJAMENTO, ORCAMENTO","assessor tec. de planejamento, orcamento","tec. planning, orcament"
"1418","GERENTE DE EDUCACAO CONTINUADA","GERENTE DE EDUCACAO CONTINUADA","gerente de educacao continuada","continuing education manager"
"1419","SUPERINT. DE ENERGIA E MINERACAO","SUPERINT. DE ENERGIA E MINERACAO","superint. de energia e mineracao","superint. energy and mineration"
"1420","GERENTE DE ACOES ESTRATEGICAS","GERENTE DE ACOES ESTRATEGICAS","gerente de acoes estrategicas","strategic hearing manager"
"1421","ASSESSOR TECNICO DE INCENTIVOS E TERMOS","ASSESSOR TECNICO DE INCENTIVOS E TERMOS","assessor tecnico de incentivos e termos","technical advisor to incentives and terms"
"1422","ASSESSOR TECNICO DE DOENCAS TRANSMISSIVE","ASSESSOR TECNICO DE DOENCAS TRANSMISSIVE","assessor tecnico de doencas transmissive","transmissive disease technical advisor"
"1423","SUPERVISOR DA EDUCACAO ESPECIAL","SUPERVISOR DA EDUCACAO ESPECIAL","supervisor da educacao especial","special education supervisor"
"1424","SUPERVISOR DO AMBULATORIO DE ESPECIALIDA","SUPERVISOR DO AMBULATORIO DE ESPECIALIDA","supervisor do ambulatorio de especialida","specialida ambulatory supervisor"
"1425","ASSESSOR DE RELACOES INTERNACIONAIS","ASSESSOR DE RELACOES INTERNACIONAIS","assessor de relacoes internacionais","international relations advisor"
"1426","GER DE EXEC. MONIT. POL. PUB. PARA OS DI","GER DE EXEC. MONIT. POL. PUB. PARA OS DI","ger de exec. monit. pol. pub. para os di","ger de exec. monit. pol. pub. for the di"
"1427","SUPERVISOR DO AGRESTE II","SUPERVISOR DO AGRESTE II","supervisor do agreste ii","supervisor of agreste ii"
"1428","GERENTE DE EXECUCAO E MONIT. DE POLITICA","GERENTE DE EXECUCAO E MONIT. DE POLITICA","gerente de execucao e monit. de politica","execution and monit manager. policy"
"1429","AGENTE DE SINE PORTO CALVO","AGENTE DE SINE PORTO CALVO","agente de sine porto calvo","sine porto calvo agent"
"1430","ASSESSOR TECNICO DE INCUBADORAS","ASSESSOR TECNICO DE INCUBADORAS","assessor tecnico de incubadoras","incubators technical advisor"
"1431","SUPERVISOR DE ESPORTE, LAZER E CULTURA","SUPERVISOR DE ESPORTE, LAZER E CULTURA","supervisor de esporte, lazer e cultura","sports, leisure and culture supervisor"
"1432","GERENTE DE SUPORTE TECNICO","GERENTE DE SUPORTE TECNICO","gerente de suporte tecnico","technical support manager"
"1433","SERVICOS ADMINISTRATIVOS","SERVICOS ADMINISTRATIVOS","servicos administrativos","administrative services"
"1434","ASSESSOR TECNICO DE SERVICOS DE ENGENHAR","ASSESSOR TECNICO DE SERVICOS DE ENGENHAR","assessor tecnico de servicos de engenhar","technical advisor to engine services"
